id,question,category,tags,tags_list,question_lower
1,Can I take ibuprofen with my blood pressure medication?,Drug Interactions,ibuprofen;blood pressure;interaction;otc,"['ibuprofen', 'blood pressure', 'interaction', 'otc']",can i take ibuprofen with my blood pressure medication?
2,Is it safe to take acetaminophen (Tylenol) with ibuprofen?,Drug Interactions,acetaminophen;ibuprofen;interaction;pain,"['acetaminophen', 'ibuprofen', 'interaction', 'pain']",is it safe to take acetaminophen (tylenol) with ibuprofen?
3,Can I take naproxen (Aleve) with aspirin?,Drug Interactions,naproxen;aspirin;nsaid;interaction,"['naproxen', 'aspirin', 'nsaid', 'interaction']",can i take naproxen (aleve) with aspirin?
4,Can I take ibuprofen if I’m on a blood thinner like warfarin?,Drug Interactions,ibuprofen;warfarin;blood thinner;bleeding risk,"['ibuprofen', 'warfarin', 'blood thinner', 'bleeding risk']",can i take ibuprofen if i’m on a blood thinner like warfarin?
5,Is it okay to take aspirin with a blood thinner?,Drug Interactions,aspirin;blood thinner;bleeding risk;interaction,"['aspirin', 'blood thinner', 'bleeding risk', 'interaction']",is it okay to take aspirin with a blood thinner?
6,Can I take cold medicine while on a beta blocker?,Drug Interactions,cold medicine;beta blocker;decongestant;interaction,"['cold medicine', 'beta blocker', 'decongestant', 'interaction']",can i take cold medicine while on a beta blocker?
7,Do decongestants interact with high blood pressure meds?,Drug Interactions,decongestant;phenylephrine;pseudoephedrine;hypertension,"['decongestant', 'phenylephrine', 'pseudoephedrine', 'hypertension']",do decongestants interact with high blood pressure meds?
8,Can I take pseudoephedrine with my anxiety medication?,Drug Interactions,pseudoephedrine;anxiety;stimulant;interaction,"['pseudoephedrine', 'anxiety', 'stimulant', 'interaction']",can i take pseudoephedrine with my anxiety medication?
9,Can I take antihistamines with antidepressants?,Drug Interactions,antihistamine;antidepressant;drowsiness;interaction,"['antihistamine', 'antidepressant', 'drowsiness', 'interaction']",can i take antihistamines with antidepressants?
10,Is it safe to mix Benadryl with alcohol?,Drug Interactions,diphenhydramine;alcohol;drowsiness;safety,"['diphenhydramine', 'alcohol', 'drowsiness', 'safety']",is it safe to mix benadryl with alcohol?
11,Can I take melatonin with SSRIs?,Drug Interactions,melatonin;ssri;sleep;interaction,"['melatonin', 'ssri', 'sleep', 'interaction']",can i take melatonin with ssris?
12,Can I take melatonin with blood pressure medication?,Drug Interactions,melatonin;blood pressure;interaction;sleep,"['melatonin', 'blood pressure', 'interaction', 'sleep']",can i take melatonin with blood pressure medication?
13,Can I take omeprazole with levothyroxine?,Drug Interactions,omeprazole;levothyroxine;thyroid;timing,"['omeprazole', 'levothyroxine', 'thyroid', 'timing']",can i take omeprazole with levothyroxine?
14,Do antacids affect how antibiotics work?,Drug Interactions,antacid;antibiotic;absorption;timing,"['antacid', 'antibiotic', 'absorption', 'timing']",do antacids affect how antibiotics work?
15,Can calcium supplements interfere with my medication?,Drug Interactions,calcium;supplement;absorption;interaction,"['calcium', 'supplement', 'absorption', 'interaction']",can calcium supplements interfere with my medication?
16,Can I take iron pills with my thyroid medicine?,Drug Interactions,iron;levothyroxine;absorption;timing,"['iron', 'levothyroxine', 'absorption', 'timing']",can i take iron pills with my thyroid medicine?
17,Can I take magnesium with doxycycline?,Drug Interactions,magnesium;doxycycline;antibiotic;absorption,"['magnesium', 'doxycycline', 'antibiotic', 'absorption']",can i take magnesium with doxycycline?
18,Can I take grapefruit juice with my cholesterol medication?,Drug Interactions,grapefruit;statin;interaction;CYP3A4,"['grapefruit', 'statin', 'interaction', 'cyp3a4']",can i take grapefruit juice with my cholesterol medication?
19,Can I take St. John’s wort with antidepressants?,Drug Interactions,st johns wort;antidepressant;serotonin;interaction,"['st johns wort', 'antidepressant', 'serotonin', 'interaction']",can i take st. john’s wort with antidepressants?
20,Can I take cough syrup with my antidepressant?,Drug Interactions,dextromethorphan;antidepressant;serotonin;interaction,"['dextromethorphan', 'antidepressant', 'serotonin', 'interaction']",can i take cough syrup with my antidepressant?
21,Does dextromethorphan interact with MAO inhibitors?,Drug Interactions,dextromethorphan;mao inhibitor;danger;serotonin,"['dextromethorphan', 'mao inhibitor', 'danger', 'serotonin']",does dextromethorphan interact with mao inhibitors?
22,Can I take NSAIDs if I have kidney disease?,Drug Interactions,nsaid;kidney;contraindication;safety,"['nsaid', 'kidney', 'contraindication', 'safety']",can i take nsaids if i have kidney disease?
23,Is it safe to take ibuprofen with diabetes medication?,Drug Interactions,ibuprofen;diabetes;metformin;interaction,"['ibuprofen', 'diabetes', 'metformin', 'interaction']",is it safe to take ibuprofen with diabetes medication?
24,Can I take acetaminophen with liver disease?,Drug Interactions,acetaminophen;liver;dose limit;safety,"['acetaminophen', 'liver', 'dose limit', 'safety']",can i take acetaminophen with liver disease?
25,Can I take antacids with metformin?,Drug Interactions,antacid;metformin;stomach;interaction,"['antacid', 'metformin', 'stomach', 'interaction']",can i take antacids with metformin?
26,Can I take probiotics with antibiotics?,Drug Interactions,probiotic;antibiotic;timing;gut,"['probiotic', 'antibiotic', 'timing', 'gut']",can i take probiotics with antibiotics?
27,Can I take a multivitamin with antibiotics?,Drug Interactions,multivitamin;antibiotic;minerals;timing,"['multivitamin', 'antibiotic', 'minerals', 'timing']",can i take a multivitamin with antibiotics?
28,Do sleep medicines interact with opioids?,Drug Interactions,sleep aid;opioid;respiratory depression;danger,"['sleep aid', 'opioid', 'respiratory depression', 'danger']",do sleep medicines interact with opioids?
29,Can I take antihistamines with opioid pain medicine?,Drug Interactions,antihistamine;opioid;drowsiness;interaction,"['antihistamine', 'opioid', 'drowsiness', 'interaction']",can i take antihistamines with opioid pain medicine?
30,Can I take ibuprofen with prednisone?,Drug Interactions,ibuprofen;prednisone;stomach bleed;interaction,"['ibuprofen', 'prednisone', 'stomach bleed', 'interaction']",can i take ibuprofen with prednisone?
31,Can I take aspirin with prednisone?,Drug Interactions,aspirin;prednisone;bleeding;interaction,"['aspirin', 'prednisone', 'bleeding', 'interaction']",can i take aspirin with prednisone?
32,Can I take allergy medicine with high blood pressure meds?,Drug Interactions,allergy;antihistamine;hypertension;interaction,"['allergy', 'antihistamine', 'hypertension', 'interaction']",can i take allergy medicine with high blood pressure meds?
