id,question,category,tags
1,"Can I take ibuprofen with my blood pressure medication?","Drug Interactions","ibuprofen;blood pressure;interaction;otc"
2,"Is it safe to take acetaminophen (Tylenol) with ibuprofen?","Drug Interactions","acetaminophen;ibuprofen;interaction;pain"
3,"Can I take naproxen (Aleve) with aspirin?","Drug Interactions","naproxen;aspirin;nsaid;interaction"
4,"Can I take ibuprofen if I’m on a blood thinner like warfarin?","Drug Interactions","ibuprofen;warfarin;blood thinner;bleeding risk"
5,"Is it okay to take aspirin with a blood thinner?","Drug Interactions","aspirin;blood thinner;bleeding risk;interaction"
6,"Can I take cold medicine while on a beta blocker?","Drug Interactions","cold medicine;beta blocker;decongestant;interaction"
7,"Do decongestants interact with high blood pressure meds?","Drug Interactions","decongestant;phenylephrine;pseudoephedrine;hypertension"
8,"Can I take pseudoephedrine with my anxiety medication?","Drug Interactions","pseudoephedrine;anxiety;stimulant;interaction"
9,"Can I take antihistamines with antidepressants?","Drug Interactions","antihistamine;antidepressant;drowsiness;interaction"
10,"Is it safe to mix Benadryl with alcohol?","Drug Interactions","diphenhydramine;alcohol;drowsiness;safety"
11,"Can I take melatonin with SSRIs?","Drug Interactions","melatonin;ssri;sleep;interaction"
12,"Can I take melatonin with blood pressure medication?","Drug Interactions","melatonin;blood pressure;interaction;sleep"
13,"Can I take omeprazole with levothyroxine?","Drug Interactions","omeprazole;levothyroxine;thyroid;timing"
14,"Do antacids affect how antibiotics work?","Drug Interactions","antacid;antibiotic;absorption;timing"
15,"Can calcium supplements interfere with my medication?","Drug Interactions","calcium;supplement;absorption;interaction"
16,"Can I take iron pills with my thyroid medicine?","Drug Interactions","iron;levothyroxine;absorption;timing"
17,"Can I take magnesium with doxycycline?","Drug Interactions","magnesium;doxycycline;antibiotic;absorption"
18,"Can I take grapefruit juice with my cholesterol medication?","Drug Interactions","grapefruit;statin;interaction;CYP3A4"
19,"Can I take St. John’s wort with antidepressants?","Drug Interactions","st johns wort;antidepressant;serotonin;interaction"
20,"Can I take cough syrup with my antidepressant?","Drug Interactions","dextromethorphan;antidepressant;serotonin;interaction"
21,"Does dextromethorphan interact with MAO inhibitors?","Drug Interactions","dextromethorphan;mao inhibitor;danger;serotonin"
22,"Can I take NSAIDs if I have kidney disease?","Drug Interactions","nsaid;kidney;contraindication;safety"
23,"Is it safe to take ibuprofen with diabetes medication?","Drug Interactions","ibuprofen;diabetes;metformin;interaction"
24,"Can I take acetaminophen with liver disease?","Drug Interactions","acetaminophen;liver;dose limit;safety"
25,"Can I take antacids with metformin?","Drug Interactions","antacid;metformin;stomach;interaction"
