id,question,category,tags
1,What are the warnings for ZINC OXIDE?,Warnings,zinc oxide;fda;label;warnings
2,Should I avoid ZINC OXIDE if I have certain conditions?,Warnings,zinc oxide;fda;label;warnings;contraindications
3,How should I take ZINC OXIDE?,Dosage,zinc oxide;fda;label;dosage
4,What is the recommended dose of ZINC OXIDE?,Dosage,zinc oxide;fda;label;dosage
5,Can I take ZINC OXIDE with food?,Dosage,zinc oxide;fda;label;dosage;food
6,Can I take ZINC OXIDE with alcohol?,Drug Interactions,zinc oxide;fda;label;alcohol;interactions
7,Can I take ZINC OXIDE with my other prescriptions?,Drug Interactions,zinc oxide;fda;label;interactions
8,How do I store ZINC OXIDE?,Storage,zinc oxide;fda;label;storage
9,What if I miss a dose of ZINC OXIDE?,Dosage,zinc oxide;fda;label;missed dose
10,Is ZINC OXIDE safe for children?,Children,zinc oxide;fda;label;children;pediatric
11,Can I take ZINC OXIDE if I have kidney disease?,Special Populations,zinc oxide;fda;label;kidney
12,Can I take ZINC OXIDE if I have liver disease?,Special Populations,zinc oxide;fda;label;liver
13,Does ZINC OXIDE expire? How long can I keep it?,Storage,zinc oxide;fda;label;expiration
14,What should I do if I take too much ZINC OXIDE?,Overdose,zinc oxide;fda;label;overdose
15,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
16,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
17,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
18,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
19,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
20,What should I know about ZINC OXIDE before taking it?,General,zinc oxide;fda;label
21,What are the warnings for ALCOHOL?,Warnings,alcohol;fda;label;warnings
22,Should I avoid ALCOHOL if I have certain conditions?,Warnings,alcohol;fda;label;warnings;contraindications
23,How should I take ALCOHOL?,Dosage,alcohol;fda;label;dosage
24,What is the recommended dose of ALCOHOL?,Dosage,alcohol;fda;label;dosage
25,Can I take ALCOHOL with food?,Dosage,alcohol;fda;label;dosage;food
26,Can I take ALCOHOL with alcohol?,Drug Interactions,alcohol;fda;label;alcohol;interactions
27,Can I take ALCOHOL with my other prescriptions?,Drug Interactions,alcohol;fda;label;interactions
28,How do I store ALCOHOL?,Storage,alcohol;fda;label;storage
29,What if I miss a dose of ALCOHOL?,Dosage,alcohol;fda;label;missed dose
30,Is ALCOHOL safe for children?,Children,alcohol;fda;label;children;pediatric
31,Can I take ALCOHOL if I have kidney disease?,Special Populations,alcohol;fda;label;kidney
32,Can I take ALCOHOL if I have liver disease?,Special Populations,alcohol;fda;label;liver
33,Does ALCOHOL expire? How long can I keep it?,Storage,alcohol;fda;label;expiration
34,What should I do if I take too much ALCOHOL?,Overdose,alcohol;fda;label;overdose
35,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
36,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
37,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
38,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
39,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
40,What should I know about ALCOHOL before taking it?,General,alcohol;fda;label
41,What are the warnings for ACETAMINOPHEN?,Warnings,acetaminophen;fda;label;warnings
42,Should I avoid ACETAMINOPHEN if I have certain conditions?,Warnings,acetaminophen;fda;label;warnings;contraindications
43,How should I take ACETAMINOPHEN?,Dosage,acetaminophen;fda;label;dosage
44,What is the recommended dose of ACETAMINOPHEN?,Dosage,acetaminophen;fda;label;dosage
45,Can I take ACETAMINOPHEN with food?,Dosage,acetaminophen;fda;label;dosage;food
46,Is ACETAMINOPHEN safe during pregnancy?,Pregnancy,acetaminophen;fda;label;pregnancy
47,Can I take ACETAMINOPHEN with alcohol?,Drug Interactions,acetaminophen;fda;label;alcohol;interactions
48,Can I take ACETAMINOPHEN with my other prescriptions?,Drug Interactions,acetaminophen;fda;label;interactions
49,How do I store ACETAMINOPHEN?,Storage,acetaminophen;fda;label;storage
50,What if I miss a dose of ACETAMINOPHEN?,Dosage,acetaminophen;fda;label;missed dose
51,Is ACETAMINOPHEN safe for children?,Children,acetaminophen;fda;label;children;pediatric
52,Can I take ACETAMINOPHEN if I have kidney disease?,Special Populations,acetaminophen;fda;label;kidney
53,Can I take ACETAMINOPHEN if I have liver disease?,Special Populations,acetaminophen;fda;label;liver
54,Does ACETAMINOPHEN expire? How long can I keep it?,Storage,acetaminophen;fda;label;expiration
55,What should I do if I take too much ACETAMINOPHEN?,Overdose,acetaminophen;fda;label;overdose
